return,entry_time,entry_price,exit_time,exit_price,price_max_ratio,vol_max_ratio,zero_vol_mins_count,if_curr_higher_one,if_curr_higher_open,if_curr_not_too_high,if_curr_not_too_high_90_days,ticker
-0.20457406630297229,2022-12-01 09:30:00,190.64,2022-12-01 15:59:00,190.43,102.26,78.49,0,1,1,1,1,DEO
0.0,2022-12-01 09:35:00,179.725,2022-12-01 09:42:00,179.725,102.56,75.95,0,1,1,1,1,FIVE
0.0,2022-12-01 09:37:00,1.7163,2022-12-01 09:42:00,1.7163,101.18,77.22,0,1,1,1,1,CTRM
-1.0,2022-12-01 09:41:00,12.7218,2022-12-01 09:42:00,12.594581999999999,99.78,71.66,0,1,1,1,1,CECO
-1.0,2022-12-01 09:42:00,64.75,2022-12-01 09:44:00,64.1025,97.57,72.78,0,1,1,1,1,OKTA
3.0,2022-12-01 09:43:00,1.9,2022-12-01 10:25:00,1.9569999999999999,95.98,74.21,0,1,1,1,1,ONCY
0.0,2022-12-01 09:50:00,11.11,2022-12-01 10:54:00,11.11,97.59,79.11,0,1,0,1,1,LADR
-1.0,2022-12-01 09:52:00,9.9101,2022-12-01 10:02:00,9.810999,98.51,70.02,0,1,0,1,1,VOC
-1.0,2022-12-01 09:56:00,3.2056,2022-12-01 09:57:00,3.173544,115.77,72.08,0,1,1,0,1,VAXX
0.0,2022-12-01 10:10:00,53.05,2022-12-01 13:57:00,53.05,100.02,70.83,0,1,1,1,1,SRCL
-1.0,2022-12-01 10:15:00,13.565,2022-12-01 10:18:00,13.42935,100.5,73.02,0,1,1,1,1,VRNA
0.0,2022-12-01 10:22:00,10.22,2022-12-01 14:54:00,10.22,98.89,81.59,0,1,1,1,1,RENE
-1.0,2022-12-01 10:31:00,3.2977,2022-12-01 10:33:00,3.264723,95.31,89.99,0,1,0,1,1,CORR
-0.7318501170960188,2022-12-01 10:50:00,34.16,2022-12-01 15:59:00,33.95,96.98,94.12,0,1,0,1,1,TS
-1.0,2022-12-01 11:05:00,4.5989,2022-12-01 11:11:00,4.552911000000001,95.63,70.8,0,1,1,1,1,PBYI
-1.0,2022-12-01 11:09:00,3.01,2022-12-01 11:32:00,2.9798999999999998,95.86,97.93,0,1,1,1,1,BKTI
