date,month,weekday,entry_hour,return,ticker,entry_time,entry_price,exit_time,exit_price,price_max_ratio,vol_max_ratio,if_price_max,if_vol_max,zero_vol_mins_count,if_vol_count_zero,if_curr_higher_one,if_curr_higher_open,if_curr_not_too_high,if_curr_not_too_high_90_days,if_entry_after_3pm,if_entry_before_10am
2022-04-01,2022-04,4,15,0.0,PORT,15:55:00,9.92,15:59:00,9.92,95.29,70.79,0,0,380.0,0,1,1,1,1,1,0
2022-04-01,2022-04,4,13,-1.0,SVT,13:42:00,14.25,13:43:00,14.1075,95.64,72.46,0,0,241.0,0,1,0,1,1,0,0
2022-04-01,2022-04,4,10,0.0,ARLP,10:06:00,16.1184,10:11:00,16.1184,99.16,99.02,0,0,5.0,0,1,1,1,1,0,0
2022-04-01,2022-04,4,9,0.0,TELL,09:42:00,6.04,09:48:00,6.04,97.26,72.25,0,0,0.0,1,1,1,1,1,0,1
2022-04-01,2022-04,4,14,3.0,EP,14:12:00,19.1841,15:33:00,19.759623,102.04,75.87,1,0,246.0,0,1,1,1,1,0,0
2022-04-01,2022-04,4,9,0.0,LGVN,09:38:00,14.905,09:40:00,14.905,100.2,79.31,1,0,0.0,1,1,0,1,1,0,1
2022-04-01,2022-04,4,13,0.6969136680415231,KRYS,13:56:00,70.31,15:59:00,70.97,95.09,239.92,0,1,138.0,0,1,1,1,1,0,0
2022-04-01,2022-04,4,13,0.275482093663906,SBS,13:42:00,10.89,15:59:00,10.92,109.85,71.01,1,0,0.0,1,1,1,1,1,0,0
2022-04-01,2022-04,4,14,2.3603914795624648,ISEE,14:16:00,17.37,15:59:00,17.83,99.26,84.03,0,0,18.0,0,1,1,1,1,0,0
2022-04-01,2022-04,4,13,0.0,FUNC,13:38:00,23.52,14:45:00,23.52,96.0,97.01,0,0,240.0,0,1,1,1,1,0,0
2022-04-01,2022-04,4,11,-1.0,CIG,11:54:00,1.9408,12:33:00,1.9213919999999998,100.77,74.75,1,0,4.0,0,1,0,1,1,0,0
2022-04-01,2022-04,4,15,0.05279831045405496,PAX,15:56:00,18.94,15:59:00,18.977,102.49,75.73,1,0,143.0,0,1,1,1,1,1,0
2022-04-01,2022-04,4,9,-1.0,BLBX,09:31:00,3.6116,09:32:00,3.5754840000000003,96.86,153.0,0,1,0.0,1,1,1,1,1,0,1
2022-04-01,2022-04,4,12,1.3763046220896924,WNS,12:46:00,87.19,15:59:00,88.65,95.37,71.94,0,0,108.0,0,1,1,1,1,0,0
2022-04-01,2022-04,4,11,0.2534211860111541,BTWN,11:17:00,9.865,15:59:00,9.9,99.65,123.48,0,1,94.0,0,1,1,1,1,0,0
2022-04-01,2022-04,4,12,-1.0,SRI,12:13:00,21.97,12:17:00,21.7503,99.15,148.04,0,1,79.0,0,1,1,1,1,0,0
2022-04-01,2022-04,4,15,0.6065857885615277,VIV,15:44:00,11.54,15:59:00,11.61,101.94,502.38,1,1,21.0,0,1,1,1,1,1,0
2022-04-01,2022-04,4,12,3.0,CBD,12:26:00,5.195,15:40:00,5.35085,95.06,78.66,0,0,48.0,0,1,1,1,1,0,0
2022-04-01,2022-04,4,13,3.0,ACET,13:48:00,20.115,15:34:00,20.71845,100.25,84.13,1,0,100.0,0,1,1,1,1,0,0
2022-04-01,2022-04,4,9,-0.10010212438952892,VCXA,09:44:00,9.8899,15:59:00,9.88,100.0,76.05,1,0,4.0,0,1,1,1,1,0,1
2022-04-01,2022-04,4,12,0.19720624486441649,OMAB,12:30:00,60.85,15:59:00,60.97,100.85,76.83,1,0,139.0,0,1,1,1,1,0,0
2022-04-01,2022-04,4,11,0.0,PRCT,11:35:00,35.125,11:59:00,35.125,97.52,74.07,0,0,29.0,0,1,1,1,1,0,0
2022-04-01,2022-04,4,10,-1.0,NFE,10:24:00,46.99,10:27:00,46.5201,109.77,82.68,1,0,0.0,1,1,1,1,1,0,0
2022-04-01,2022-04,4,10,0.0,LHC,10:33:00,9.8,15:59:00,9.8,98.0,72.75,0,0,10.0,0,1,1,1,1,0,0
2022-04-01,2022-04,4,10,-1.0,BNS,10:00:00,71.925,10:29:00,71.20575,96.1,99.46,0,0,0.0,1,1,0,1,1,0,0
2022-04-01,2022-04,4,15,0.389559797428897,ATEC,15:52:00,12.835,15:59:00,12.95,96.1,75.9,0,0,31.0,0,1,1,1,1,1,0
2022-04-01,2022-04,4,10,-1.0,ALNY,10:02:00,177.135,10:21:00,175.36364999999995,101.33,70.39,1,0,0.0,1,1,1,1,1,0,0
2022-04-01,2022-04,4,13,0.0,VTNR,13:55:00,10.12,13:57:00,10.12,97.64,74.87,0,0,0.0,1,1,1,1,1,0,0
2022-04-01,2022-04,4,9,3.0,SGBX,09:46:00,2.46,09:48:00,2.5338,95.52,195.09,0,1,0.0,1,1,1,1,1,0,1
2022-04-01,2022-04,4,9,-1.0,GSL,09:44:00,29.45,09:52:00,29.1555,98.55,78.86,0,0,1.0,0,1,1,1,1,0,1
2022-04-01,2022-04,4,15,0.4388475481778363,ORI,15:56:00,26.205,15:59:00,26.33,96.43,73.77,0,0,4.0,0,1,1,1,1,1,0
2022-04-01,2022-04,4,11,1.233675188049489,WTM,11:20:00,1134.01,15:59:00,1148.0,99.56,71.93,0,0,100.0,0,1,0,1,1,0,0
2022-04-01,2022-04,4,14,0.17006802721088074,ECVT,14:55:00,11.76,15:59:00,11.79,97.59,235.13,0,1,171.0,0,1,1,1,1,0,0
2022-04-01,2022-04,4,15,-1.0,LOAN,15:53:00,6.3987,15:59:00,6.334713,98.75,73.07,0,0,347.0,0,1,1,1,1,1,0
2022-04-01,2022-04,4,15,1.1418269230769094,EBR,15:32:00,8.32,15:59:00,8.425,104.52,71.95,1,0,9.0,0,1,1,1,1,1,0
2022-04-01,2022-04,4,9,-1.0,AAIC,09:59:00,3.5282,13:26:00,3.492918,95.88,421.04,0,1,22.0,0,1,0,1,1,0,1
2022-04-04,2022-04,0,11,-0.04578754578755295,NVS,11:40:00,87.36,15:59:00,87.4,96.12,71.8,0,0,0.0,1,1,0,1,1,0,0
2022-04-04,2022-04,0,15,0.0,PRPO,15:41:00,1.67,15:45:00,1.67,95.45,77.97,0,0,220.0,0,1,1,0,1,1,0
2022-04-04,2022-04,0,12,-1.0,OMAB,12:11:00,62.34,15:32:00,61.7166,100.56,70.89,1,0,125.0,0,1,1,1,1,0,0
2022-04-04,2022-04,0,15,0.052397170552779725,WSO,15:55:00,305.36,15:59:00,305.69,96.96,71.95,0,0,188.0,0,1,1,1,1,1,0
2022-04-04,2022-04,0,10,3.0,PCVX,10:16:00,25.35,10:35:00,26.1105,95.68,368.28,0,1,26.0,0,1,1,1,1,0,0
2022-04-04,2022-04,0,11,-1.0,BBAR,11:55:00,3.685,13:15:00,3.64815,97.84,73.22,0,0,33.0,0,1,1,1,1,0,0
2022-04-04,2022-04,0,11,3.0,CFRX,11:03:00,306.152,11:08:00,315.33656,95.15,193.27,0,1,79.0,0,1,1,1,1,0,0
2022-04-04,2022-04,0,11,-1.0,AZYO,11:52:00,7.7,11:54:00,7.622999999999999,102.51,72.3,1,0,118.0,0,1,1,0,1,0,0
2022-04-04,2022-04,0,9,-1.0,BRK.A,09:36:00,522454.495,12:39:00,517229.95005,96.07,89.6,0,0,0.0,1,1,0,1,1,0,1
2022-04-04,2022-04,0,15,-0.5394662123793235,PRCT,15:34:00,35.22,15:59:00,35.17,97.81,71.88,0,0,111.0,0,1,0,1,1,1,0
2022-04-04,2022-04,0,12,0.09108389839085458,FLAG,12:11:00,9.881,15:59:00,9.89,99.71,117.29,0,1,153.0,0,1,0,1,1,0,0
2022-04-04,2022-04,0,9,-1.0,ACER,09:30:00,3.6385,09:31:00,3.602115,120.78,552.8,1,1,0.0,1,1,1,1,1,0,1
2022-04-04,2022-04,0,11,0.0,GO,11:25:00,33.62,12:20:00,33.62,99.79,132.77,0,1,19.0,0,1,1,1,1,0,0
2022-04-04,2022-04,0,9,3.0,EURN,09:31:00,11.73,10:02:00,12.0819,97.04,84.18,0,0,0.0,1,1,1,1,1,0,1
2022-04-04,2022-04,0,10,,UG,10:25:00,23.38,10:26:00,,101.01,72.77,1,0,35.0,0,1,1,1,1,0,0
2022-04-04,2022-04,0,9,-1.0,SBOW,09:45:00,34.4853,10:37:00,34.140446999999995,96.34,70.12,0,0,2.0,0,1,0,1,1,0,1
2022-04-04,2022-04,0,9,-1.0,RES,09:45:00,11.43,09:50:00,11.3157,96.95,72.12,0,0,0.0,1,1,1,1,1,0,1
2022-04-04,2022-04,0,9,-1.0,LOAN,09:52:00,6.41,09:58:00,6.3459,98.92,71.84,0,0,10.0,0,1,1,1,1,0,1
2022-04-04,2022-04,0,9,0.0,CPE,09:37:00,64.775,09:45:00,64.775,98.41,72.74,0,0,0.0,1,1,1,1,1,0,1
2022-04-04,2022-04,0,15,0.249376558603486,ADMA,15:55:00,2.005,15:59:00,2.02,100.75,71.03,1,0,8.0,0,1,1,1,1,1,0
2022-04-04,2022-04,0,14,0.10905125408941582,DKL,14:47:00,45.85,15:59:00,45.9,101.57,71.25,1,0,228.0,0,1,1,1,1,0,0
2022-04-04,2022-04,0,10,-1.0,SVT,10:39:00,14.21,10:43:00,14.0679,95.37,76.75,0,0,50.0,0,1,1,1,1,0,0
2022-04-04,2022-04,0,13,0.0,FEIM,13:48:00,9.31,13:52:00,9.31,96.11,209.21,0,1,242.0,0,1,1,1,1,0,0
2022-04-04,2022-04,0,11,0.0,PLUG,11:26:00,31.71,11:50:00,31.71,105.74,72.79,1,0,0.0,1,1,1,1,1,0,0
2022-04-04,2022-04,0,12,3.0,RVMD,12:05:00,26.19,12:32:00,26.975700000000003,96.26,75.24,0,0,50.0,0,1,1,1,1,0,0
2022-04-04,2022-04,0,9,,PLX,09:30:00,1.5599,09:31:00,,130.33,243.23,1,1,0.0,1,1,1,1,0,0,1
2022-04-04,2022-04,0,10,3.0,JMIA,10:19:00,11.69,10:27:00,12.0407,96.69,71.97,0,0,0.0,1,1,1,1,1,0,0
