Symbol,Company Name,Industry,Market Cap
A,Agilent Technologies,Diagnostics & Research,40907416893
AA,Alcoa,Aluminum,7590789140
AAC,Ares Acquisition,Shell Companies,743010072
AACG,ATA Creativity Global,Education & Training Services,60557417
AADI,Aadi Bioscience,Biotechnology,176620524
AAIC,Arlington Asset Investment,REIT - Mortgage,81128762
AAL,American Airlines Group,Airlines,9608606896
AAMC,Altisource Asset Management,Asset Management,114541992
AAME,Atlantic American,Insurance - Life,49913897
AAN,The Aaron's Company,Rental & Leasing Services,307482630
AAOI,Applied Optoelectronics,Semiconductors,64206909
AAON,"AAON, Inc.",Building Products & Equipment,5171116566
AAP,Advance Auto Parts,Specialty Retail,7208286818
AAPL,Apple,Consumer Electronics,2.60903E+12
AAT,American Assets Trust,REIT - Diversified,1467050225
AAU,Almaden Minerals,Gold,26071988
AB,AllianceBernstein Holding L.P.,Asset Management,4160564560
ABB,ABB Ltd,Electrical Equipment & Parts,63720825549
ABBV,AbbVie,Drug Manufacturers - General,2.81151E+11
ABC,AmerisourceBergen,Medical Distribution,32383528380
ABCB,Ameris Bancorp,Banks - Regional,2538103300
ABCL,AbCellera Biologics,Biotechnology,2169152561
ABCM,Abcam,Biotechnology,3086001120
ABEO,Abeona Therapeutics,Biotechnology,50478279
ABEV,Ambev,Beverages - Brewers,44391594271
ABG,Asbury Automotive Group,Auto & Truck Dealerships,4554354000
ABIO,ARCA biopharma,Biotechnology,28676099
ABM,ABM Industries,Specialty Business Services,2970803640
ABNB,Airbnb,Travel Services,78537331332
ABOS,Acumen Pharmaceuticals,Biotechnology,166561906
ABR,Arbor Realty Trust,REIT - Mortgage,2066120402
ABSI,Absci,Biotechnology,161691068
ABST,Absolute Software,Software - Application,412462476
ABT,Abbott Laboratories,Medical Devices,1.75985E+11
ABUS,Arbutus Biopharma,Biotechnology,492590154
ABVC,ABVC BioPharma,Biotechnology,20884672
AC,Associated Capital Group,Capital Markets,811325930
ACA,Arcosa,Infrastructure Operations,3057143065
ACAB,Atlantic Coastal Acquisition Corp. II,Shell Companies,389625756
ACAC,Acri Capital Acquisition,Shell Companies,112992356
ACAD,ACADIA Pharmaceuticals,Biotechnology,3053168600
ACAH,Atlantic Coastal Acquisition,Shell Companies,123034912
ACAQ,Athena Consumer Acquisition,Shell Companies,343576989
ACAX,Alset Capital Acquisition,Shell Companies,115701390
ACB,Aurora Cannabis,Drug Manufacturers - Specialty & Generic,237770241
ACBA,Ace Global Business Acquisition,Shell Companies,65806980
ACCD,Accolade,Health Information Services,1046672804
ACCO,ACCO Brands,Business Equipment & Supplies,504960568
ACDC,ProFrac Holding,Oil & Gas Equipment & Services,693078141
ACEL,Accel Entertainment,Gambling,788644537
ACER,Acer Therapeutics,Biotechnology,17765208
ACET,Adicet Bio,Biotechnology,247420800
ACGL,Arch Capital Group,Insurance - Diversified,25282932400
ACGN,Aceragen,Biotechnology,7177939
ACHC,Acadia Healthcare Company,Medical Care Facilities,6597479850
ACHL,Achilles Therapeutics,Biotechnology,37650911
ACHR,Archer Aviation,Aerospace & Defense,707455357
ACHV,Achieve Life Sciences,Biotechnology,121926720
ACI,Albertsons Companies,Grocery Stores,11836849226
ACIU,AC Immune,Biotechnology,195671736
ACIW,ACI Worldwide,Software - Infrastructure,2916861760
ACLS,Axcelis Technologies,Semiconductor Equipment & Materials,4359153825
ACLX,Arcellx,Biotechnology,1458305082
ACM,AECOM,Engineering & Construction,11716264000
ACMR,ACM Research,Semiconductor Equipment & Materials,698526293
ACN,Accenture,Information Technology Services,1.89377E+11
ACNB,ACNB Corporation,Banks - Regional,277162274
ACNT,Ascent Industries Co.,Steel,93351045
ACON,Aclarion,Health Information Services,5109988
ACOR,Acorda Therapeutics,Drug Manufacturers - Specialty & Generic,14261892
ACR,ACRES Commercial Realty,REIT - Mortgage,84422574
ACRE,Ares Commercial Real Estate,REIT - Mortgage,496375812
ACRO,Acropolis Infrastructure Acquisition,Shell Companies,436424712
ACRS,Aclaris Therapeutics,Diagnostics & Research,539546370
ACRV,Acrivon Therapeutics,Biotechnology,265029381
ACRX,AcelRx Pharmaceuticals,Drug Manufacturers - Specialty & Generic,5394356
ACST,Acasti Pharma,Biotechnology,20517427
ACT,Enact Holdings,Insurance - Specialty,3715550283
ACTG,Acacia Research,Specialty Business Services,226076726
ACU,Acme United,Household & Personal Products,81378140
ACVA,ACV Auctions,Auto & Truck Dealerships,2050095206
ACXP,Acurx Pharmaceuticals,Biotechnology,40259868
ADAG,Adagene,Biotechnology,62716270
ADAL,Anthemis Digital Acquisitions I,Shell Companies,315459344
ADAP,Adaptimmune Therapeutics,Biotechnology,180182441
ADBE,Adobe,Software - Infrastructure,1.76721E+11
ADC,Agree Realty,REIT - Retail,6186796974
ADCT,ADC Therapeutics,Biotechnology,157252867
ADD,Color Star Technology Co.,Entertainment,17512551
ADEA,Adeia,Software - Application,932337800
ADER,26 Capital Acquisition,Shell Companies,355437490
ADES,Advanced Emissions Solutions,Pollution & Treatment Controls,53111916
ADEX,Adit EdTech Acquisition,Shell Companies,356730000
ADI,Analog Devices,Semiconductors,99764327082
ADIL,Adial Pharmaceuticals,Biotechnology,9980810
ADM,Archer-Daniels-Midland Company,Farm Products,43529808063
ADMA,ADMA Biologics,Biotechnology,735336360
ADMP,Adamis Pharmaceuticals,Drug Manufacturers - Specialty & Generic,19295381
ADN,Advent Technologies Holdings,Utilities - Renewable,54820762
ADNT,Adient,Auto Parts,3906973860
ADOC,Edoc Acquisition,Shell Companies,39437336
ADP,Automatic Data Processing,Staffing & Employment Services,92247185760
ADPT,Adaptive Biotechnologies,Biotechnology,1264694481
ADRT,Ault Disruptive Technologies,Shell Companies,150506250
ADSE,ADS-TEC Energy,Electrical Equipment & Parts,131781330
ADSK,Autodesk,Software - Application,44709230945
ADT,ADT Inc.,Security & Protection Services,6630235220
ADTH,AdTheorent Holding Company,Advertising Agencies,148083884
ADTN,ADTRAN Holdings,Communication Equipment,1247078144
ADTX,Aditxt,Biotechnology,3915256
ADUS,Addus HomeCare,Medical Care Facilities,1721803928
ADV,Advantage Solutions,Advertising Agencies,508990655
ADVM,Adverum Biotechnologies,Biotechnology,71545585
ADXN,Addex Therapeutics,Biotechnology,18190411
AE,Adams Resources & Energy,Oil & Gas Refining & Marketing,97382021
AEAE,AltEnergy Acquisition,Shell Companies,298281250
AEE,Ameren,Utilities - Regulated Electric,22636684619
AEG,Aegon,Insurance - Diversified,8629970931
AEHL,Antelope Enterprise Holdings,Building Products & Equipment,13321812
AEHR,Aehr Test Systems,Semiconductor Equipment & Materials,861096588
AEI,Alset EHome International,Real Estate - Development,14547776
AEIS,Advanced Energy Industries,Electrical Equipment & Parts,3674323800
AEL,American Equity Investment Life Holding Company,Insurance - Life,3093636796
AEM,Agnico Eagle Mines,Gold,23344310562
AEMD,Aethlon Medical,Medical Devices,8843181
AENZ,Aenza,Engineering & Construction,202688708
AEO,American Eagle Outfitters,Apparel Retail,2628272640
AEP,American Electric Power Company,Utilities - Regulated Electric,46805893658
AER,AerCap Holdings,Rental & Leasing Services,13397134880
AES,The AES Corporation,Utilities - Diversified,16110265902
AESI,Atlas Energy Solutions,Integrated Freight & Logistics,1703000000
AEVA,Aeva Technologies,Auto Parts,261525100
AEY,ADDvantage Technologies Group,Electronics & Computer Distribution,15686520
AEYE,AudioEye,Software - Application,82734170
AEZS,Aeterna Zentaris,Biotechnology,12722406
AFAR,Aura FAT Projects Acquisition,Shell Companies,148076784
AFBI,Affinity Bancshares,Banks - Regional,94467751
AFCG,AFC Gamma,REIT - Specialty,249148672
AFG,American Financial Group,Insurance - Property & Casualty,10351811664
AFIB,Acutus Medical,Medical Devices,21786151
AFL,Aflac,Insurance - Life,39467402225
AFMD,Affimed,Biotechnology,111347164
AFRI,Forafric Global,Farm Products,299122165
AFRM,Affirm Holdings,Software - Infrastructure,3313323729
AFTR,AfterNext HealthTech Acquisition,Shell Companies,319375000
AFYA,Afya Limited,Education & Training Services,1003691284
AG,First Majestic Silver,Silver,1979000800
AGAC,African Gold Acquisition,Shell Companies,530955010
AGAE,Allied Gaming & Entertainment,Entertainment,47098028
AGBA,AGBA Acquisition,Shell Companies,99488250
AGCO,AGCO Corporation,Farm & Heavy Construction Machinery,10119166221
AGE,AgeX Therapeutics,Biotechnology,25158994
AGEN,Agenus,Biotechnology,505419748
AGFS,AgroFresh Solutions,Farm Products,161152800
AGFY,Agrify,Engineering & Construction,3690751
AGI,Alamos Gold,Gold,4817971908
AGIL,AgileThought,Software - Application,157603320
AGIO,Agios Pharmaceuticals,Biotechnology,1269901044
AGL,agilon health,Medical Care Facilities,9811576440
AGLE,Aeglea BioTherapeutics,Biotechnology,18964608
AGM,Federal Agricultural Mortgage,Credit Services,1407631701
AGM.A,Federal Agricultural Mortgage,Credit Services,1326583168
AGMH,AGM Group Holdings,Software - Application,46569216
AGNC,AGNC Investment,REIT - Mortgage,5796786401
AGO,Assured Guaranty,Insurance - Specialty,2981528781
AGR,Avangrid,Utilities - Regulated Electric,15419083321
AGRI,AgriFORCE Growing Systems,Farm Products,12598587
AGRO,Adecoagro,Farm Products,885442410
AGRX,Agile Therapeutics,Drug Manufacturers - Specialty & Generic,10424557
AGS,PlayAGS,Gambling,270236395
AGTI,Agiliti,Health Information Services,2138124000
AGX,Argan,Engineering & Construction,549432861
AGYS,Agilysys,Software - Application,2079961586
AHCO,AdaptHealth,Medical Devices,1683656029
AHG,Akso Health Group,Credit Services,8458301
AHH,Armada Hoffler Properties,REIT - Diversified,1043118215
AHI,Advanced Human Imaging,Software - Application,10629003
AHRN,Ahren Acquisition,Shell Companies,390372897
AHT,Ashford Hospitality Trust,REIT - Hotel & Motel,124204851
AI,C3.ai,Information Technology Services,3766889767
AIB,AIB Acquisition,Shell Companies,118148090
AIG,American International Group,Insurance - Diversified,37127757711
AIH,Aesthetic Medical International Holdings Group,Medical Care Facilities,53103428
AIHS,Senmiao Technology,Credit Services,6772183
AIM,AIM ImmunoTech,Biotechnology,20675389
AIMAU,Aimfinity Investment I,Shell Companies,107550355
AIMD,Ainos,Biotechnology,18976866
AIN,Albany International,Textile Manufacturing,2779096000
AINC,Ashford,Asset Management,40803807
AIP,Arteris,Semiconductors,147172275
AIR,AAR Corp.,Aerospace & Defense,1893255940
AIRC,Apartment Income REIT,REIT - Residential,5339378716
AIRG,Airgain,Communication Equipment,55121976
AIRI,Air Industries Group,Aerospace & Defense,12374651
AIRS,AirSculpt Technologies,Medical Care Facilities,284183928
AIRT,Air T,Integrated Freight & Logistics,70632483
AIT,Applied Industrial Technologies,Industrial Distribution,5486175361
AIU,Meta Data,Education & Training Services,40105364
AIV,Apartment Investment and Management Company,REIT - Residential,1152923188
AIXI,Xiao-I,Information Technology Services,500639690
AIZ,Assurant,Insurance - Specialty,6354212463
AJG,Arthur J. Gallagher & Co.,Insurance Brokers,40954689780
AJRD,Aerojet Rocketdyne Holdings,Aerospace & Defense,4531638324
AJX,Great Ajax,REIT - Mortgage,152203954
AKA,a.k.a. Brands Holding,Internet Retail,70297893
AKAM,Akamai Technologies,Software - Infrastructure,12236410800
AKAN,Akanda,Drug Manufacturers - Specialty & Generic,3302649
AKBA,Akebia Therapeutics,Biotechnology,103252579
AKLI,Akili,Health Information Services,124961766
AKO.A,Embotelladora Andina,Beverages - Non-Alcoholic,2099084212
AKO.B,Embotelladora Andina,Beverages - Non-Alcoholic,2453199100
AKR,Acadia Realty Trust,REIT - Retail,1448275078
AKRO,Akero Therapeutics,Biotechnology,1797110460
AKTS,Akoustis Technologies,Communication Equipment,220387552
AKTX,"Akari Therapeutics,",Biotechnology,13527420
AKU,Akumin,Diagnostics & Research,61071823
AKYA,Akoya Biosciences,Medical Instruments & Supplies,313636742
AL,Air Lease,Rental & Leasing Services,4370660550
ALAR,Alarum Technologies,Software - Infrastructure,55605440
ALB,Albemarle,Specialty Chemicals,25927770960
ALBT,Avalon GloboCare,Real Estate Services,19796911
ALC,Alcon,Medical Instruments & Supplies,34570737544
ALCC,AltC Acquisition,Shell Companies,649092480
ALCO,Alico,Farm Products,183907658
ALDX,Aldeyra Therapeutics,Biotechnology,581501793
ALE,ALLETE,Utilities - Diversified,3689250684
ALEC,Alector,Biotechnology,513942726
ALEX,Alexander & Baldwin,REIT - Diversified,1372748758
ALG,Alamo Group,Farm & Heavy Construction Machinery,2206052640
ALGM,Allegro MicroSystems,Semiconductors,9190468920
ALGN,Align Technology,Medical Devices,25598566979
ALGS,Aligos Therapeutics,Biotechnology,37529647
ALGT,Allegiant Travel Company,Airlines,1666833966
ALHC,Alignment Healthcare,Healthcare Plans,1191113520
ALIM,Alimera Sciences,Drug Manufacturers - Specialty & Generic,14717808
ALIT,Alight,Software - Application,5132447472
ALK,Alaska Air Group,Airlines,5348431400
ALKS,Alkermes,Biotechnology,4634125684
ALKT,Alkami Technology,Software - Application,1168549599
ALL,The Allstate Corporation,Insurance - Property & Casualty,29179597300
ALLE,Allegion,Security & Protection Services,9378087602
ALLG,Allego,Auto Parts,672715355
ALLK,Allakos,Biotechnology,381285327
ALLO,Allogene Therapeutics,Biotechnology,713815140
ALLR,Allarity Therapeutics,Biotechnology,1646140
ALLT,Allot,Software - Infrastructure,100434109
ALLY,Ally Financial,Credit Services,7667672594
ALNY,Alnylam Pharmaceuticals,Biotechnology,24865921920
ALOR,ALSP Orchid Acquisition Corporation I,Shell Companies,231967800
ALOT,AstroNova,Computer Hardware,102929888
ALPA,Alpha Healthcare Acquisition Corp. III,Shell Companies,201051200
ALPN,Alpine Immune Sciences,Biotechnology,368683268
ALPP,Alpine 4 Holdings,Metal Fabrication,101766420
ALPS,Alpine Summit Energy Partners,Oil & Gas E&P,19985823
ALRM,Alarm.com Holdings,Software - Application,2495446680
ALRN,Aileron Therapeutics,Biotechnology,5631051
ALRS,Alerus Financial,Banks - Regional,322054485
ALSA,Alpha Star Acquisition,Shell Companies,153940750
ALSN,Allison Transmission Holdings,Auto Parts,4171584743
ALT,Altimmune,Biotechnology,207956958
ALTG,Alta Equipment Group,Rental & Leasing Services,513034385
ALTI,Alvarium Tiedemann Holdings,Asset Management,782020928
ALTO,Alto Ingredients,Specialty Chemicals,112716744
ALTR,Altair Engineering,Software - Infrastructure,5773725546
ALTU,Altitude Acquisition,Shell Companies,93371968
ALV,Autoliv,Auto Parts,8013060419
ALVO,Alvotech,Drug Manufacturers - Specialty & Generic,3386262797
ALVR,AlloVir,Biotechnology,368245008
ALX,Alexander's,REIT - Retail,989537438
ALXO,ALX Oncology Holdings,Biotechnology,184700760
ALYA,Alithya Group,Information Technology Services,189713675
ALZN,Alzamend Neuro,Biotechnology,40987041
AM,Antero Midstream,Oil & Gas Midstream,5020650286
AMAL,Amalgamated Financial,Banks - Regional,543721609
AMAM,Ambrx Biopharma,Biotechnology,492493689
AMAO,American Acquisition Opportunity,Shell Companies,35245181
AMAT,Applied Materials,Semiconductor Equipment & Materials,1.03806E+11
AMBA,Ambarella,Semiconductor Equipment & Materials,3000559198
AMBC,Ambac Financial Group,Insurance - Specialty,701044308
AMBI,Ambipar Emergency Response,Waste Management,456023461
AMBO,Ambow Education Holding,Education & Training Services,6731737
AMBP,Ardagh Metal Packaging,Packaging & Containers,2438105902
AMC,AMC Entertainment Holdings,Entertainment,2571783220
AMCR,Amcor,Packaging & Containers,16908176036
AMCX,AMC Networks,Entertainment,756096392
AMD,Advanced Micro Devices,Semiconductors,1.57932E+11
AME,AMETEK,Specialty Industrial Machinery,33466736567
AMED,Amedisys,Medical Care Facilities,2394096630
AMEH,Apollo Medical Holdings,Medical Care Facilities,1719049920
AMG,Affiliated Managers Group,Asset Management,5107152716
AMGN,Amgen,Drug Manufacturers - General,1.29089E+11
AMH,American Homes 4 Rent,REIT - Residential,12993630243
AMK,AssetMark Financial Holdings,Asset Management,2324148710
AMKR,Amkor Technology,Semiconductors,6382289680
AMLI,American Lithium,Other Industrial Metals & Mining,668395328
AMLX,Amylyx Pharmaceuticals,Biotechnology,1957459176
AMN,AMN Healthcare Services,Medical Care Facilities,3406868544
AMNB,American National Bankshares,Banks - Regional,337139010
AMOT,Allied Motion Technologies,Electronic Components,621001145
